Code_ARP;Libelle_medicament;DCI_brute;Substance_texte;Substance_norm
ARP000761;CETRAXAL - nan;nan;nan;NAN
ARP001076;DEFAL GOUTTE - nan;DEFLAZACORT;DEFLAZACORT;DEFLAZACORT
ARP001810;HERTRAZ - nan;nan;nan;NAN
ARP000044;ACUPAN - nan;nan;nan;NAN
ARP002435;MYNOCINE - nan;nan;nan;NAN
ARP000521;BETADINE SCRUB - nan;IODE DE POVIDONE;IODE DE POVIDONE;IODE DE POVIDONE
ARP003491;TANAGEL - B/20;TANATE DE GELATINE;TANATE DE GELATINE;TANATE DE GELATINE
ARP001022;CYSTINE B6 BAILLEUL - nan;CHLORHYDRATE DE PYRIDOXINE / CYSTEATE DE ZINC;CYSTEATE DE ZINC;CYSTEATE DE ZINC
ARP003740;UMBIPRO - nan;CHLORHEXIDINE;CHLORHEXIDINE;CHLORHEXIDINE
ARP001773;HACTOSEC - FLACON/150 ml;LEVODROPROPIZINE;LEVODROPROPIZINE;LEVODROPROPIZINE
ARP000038;ACTISOUFRE - FLACON / 100ml;EXTRAIT DE LEVURE SACCHAROMYCES CEREVISIAE TYPE D / SULFURE DE SODIUM HYDRATE;EXTRAIT DE LEVURE SACCHAROMYCES CEREVISIAE TYPE D;EXTRAIT DE LEVURE SACCHAROMYCES CEREVISIAE TYPE D
ARP000336;ASMOCID - nan;nan;nan;NAN
ARP003660;TRIACEPHINE - nan;nan;nan;NAN
ARP002703;ORTHOMAX - nan;CHONDROITIN/GLUCOSAMIN/ACIDE HYOLURONIQUE;CHONDROITIN;CHONDROITIN
ARP002903;PLASMOCUR - nan;DIHYDROARTEMISSININE/PIPERAQUINE;DIHYDROARTEMISSININE;DIHYDROARTEMISSININE
ARP002903;PLASMOCUR - nan;DIHYDROARTEMISSININE/PIPERAQUINE;PIPERAQUINE;PIPERAQUINE
ARP000717;CEFOLAC - B/8;CEFIXIME;CEFIXIME;CEFIXIME
ARP002845;PERINAM DENK - nan;nan;nan;NAN
ARP001583;FOSMOL - nan;TROMETAMOL DE FOSFOMYCINE;TROMETAMOL DE FOSFOMYCINE;TROMETAMOL DE FOSFOMYCINE
ARP002048;LACTIV - nan;ACIDE LACTIQUE BP / COCAMIDOPROPYL BETAINE / D-PANTHENOL / HUILE DE FRUIT / HUILE DE THE / POLYQUATERNIUM / SORBITOL;COCAMIDOPROPYL BETAINE;COCAMIDOPROPYL BETAINE
ARP002048;LACTIV - nan;ACIDE LACTIQUE BP / COCAMIDOPROPYL BETAINE / D-PANTHENOL / HUILE DE FRUIT / HUILE DE THE / POLYQUATERNIUM / SORBITOL;HUILE DE FRUIT;HUILE DE FRUIT
ARP002048;LACTIV - nan;ACIDE LACTIQUE BP / COCAMIDOPROPYL BETAINE / D-PANTHENOL / HUILE DE FRUIT / HUILE DE THE / POLYQUATERNIUM / SORBITOL;HUILE DE THE;HUILE DE THE
ARP002048;LACTIV - nan;ACIDE LACTIQUE BP / COCAMIDOPROPYL BETAINE / D-PANTHENOL / HUILE DE FRUIT / HUILE DE THE / POLYQUATERNIUM / SORBITOL;POLYQUATERNIUM;POLYQUATERNIUM
ARP002703;ORTHOMAX - nan;ACIDE ASCORBIQUE / MANGANESE SOUS FORME DE SULFATE DE MANGANESE / PEPTIDE DE COLLAGENE / SULFATE DE CHONDROITINE SODIQUE / SULFATE DE GLUCOSAMINE;MANGANESE SOUS FORME DE SULFATE DE MANGANESE;MANGANESE SOUS FORME DE SULFATE DE MANGANESE
ARP002703;ORTHOMAX - nan;ACIDE ASCORBIQUE / MANGANESE SOUS FORME DE SULFATE DE MANGANESE / PEPTIDE DE COLLAGENE / SULFATE DE CHONDROITINE SODIQUE / SULFATE DE GLUCOSAMINE;PEPTIDE DE COLLAGENE;PEPTIDE DE COLLAGENE
ARP000706;CEFDIA - nan;CEFIXIME;CEFIXIME;CEFIXIME
ARP003088;REPOITIN - nan;ERYTHROPOIETINE;ERYTHROPOIETINE;ERYTHROPOIETINE
ARP003572;TERMIQUIN - nan;DIHYDROARTEMISINE / PHOSPHATE DE PIPERAQUINE;DIHYDROARTEMISINE;DIHYDROARTEMISINE
ARP000711;CEFIXIM-GH - nan;CEFIXIME;CEFIXIME;CEFIXIME
ARP000840;CITROSYL - nan;ESSENCE NATURELLE DE CITRON ET DE THYM;ESSENCE NATURELLE DE CITRON ET DE THYM;ESSENCE NATURELLE DE CITRON ET DE THYM
ARP000795;CHONDROFLEX - BOITE / 20;GLUCOSAMINE SULFATE CHLORURE DE POTASSIUM / SULFATE DE CHONDROITINE SODIQUE;GLUCOSAMINE SULFATE CHLORURE DE POTASSIUM;GLUCOSAMINE SULFATE CHLORURE DE POTASSIUM
ARP003167;ROSEB - nan;nan;nan;NAN
ARP001568;FOLIGRAF - nan;HORMONE HUMAINE FOLLICULINO STIMULANTE RECOMBINEE;HORMONE HUMAINE FOLLICULINO STIMULANTE RECOMBINEE;HORMONE HUMAINE FOLLICULINO STIMULANTE RECOMBINEE
ARP003140;RINGER LACTATE - nan;CHLORURE DE SODIUM CHLORURE DE POTASSIUM-LACTATE DIHYDRATE ET LACTATE DE SODIUM;CHLORURE DE SODIUM CHLORURE DE POTASSIUM-LACTATE DIHYDRATE ET LACTATE DE SODIUM;CHLORURE DE SODIUM CHLORURE DE POTASSIUM LACTATE DIHYDRATE ET LACTATE DE SODIUM
ARP002802;PARAFUSIV - nan;nan;nan;NAN
ARP000992;CROFORMIN - nan;METFORMINE HYDROCHLORIDE;METFORMINE HYDROCHLORIDE;METFORMINE HYDROCHLORIDE
ARP002527;NEXFIL - nan;nan;nan;NAN
ARP002247;MASOVEL - nan;nan;nan;NAN
ARP003233;SEA-POIETIN - nan;ERYTHROPOIETINE;ERYTHROPOIETINE;ERYTHROPOIETINE
ARP000707;CEFEXOL - nan;CEFIXIME;CEFIXIME;CEFIXIME
ARP002420;MULTICAL PLUS - nan;CALCIUM GLYCEROPHOSPHATE / CALCIUM PANTOTHENATE / CARBONATE DE CALCIUM / NICOTAMIDE / VITAMINE B1 / VITAMINE B2 / VITAMINE B6 / VITAMINE C;CALCIUM GLYCEROPHOSPHATE;CALCIUM GLYCEROPHOSPHATE
ARP002420;MULTICAL PLUS - nan;CALCIUM GLYCEROPHOSPHATE / CALCIUM PANTOTHENATE / CARBONATE DE CALCIUM / NICOTAMIDE / VITAMINE B1 / VITAMINE B2 / VITAMINE B6 / VITAMINE C;CALCIUM PANTOTHENATE;CALCIUM PANTOTHENATE
ARP000873;CLOMIGEN - nan;CLOMIFENE;CLOMIFENE;CLOMIFENE
ARP002148;LITACOLD SOMMEIL - nan;DIPHENHYDRAMINE CHLORHYDRATE;DIPHENHYDRAMINE CHLORHYDRATE;DIPHENHYDRAMINE CHLORHYDRATE
ARP000305;ARTEGEN - AMPOULE B/1;ARTESUNATE;ARTESUNATE;ARTESUNATE
ARP002903;PLASMOCUR - nan;DIHYDROARTEMISINE / PHOSPHATE DE PIPERAQUINE;DIHYDROARTEMISINE;DIHYDROARTEMISINE
ARP000678;CARBOSOL - 0,1% COLLYRE FL/10ml;CARBOXYMETHYLE CELLULOSE SODIQUE;CARBOXYMETHYLE CELLULOSE SODIQUE;CARBOXYMETHYLE CELLULOSE SODIQUE
ARP003233;SEA-POIETIN - B/1;ERYTHROPOIETINE;ERYTHROPOIETINE;ERYTHROPOIETINE
ARP000004;A-CERUMEN - B/10;SODIUM ACYLSARCOSINATE;SODIUM ACYLSARCOSINATE;SODIUM ACYLSARCOSINATE
ARP000726;CEFTAZIDIME SP - B/1;CEFTAZIDIME;CEFTAZIDIME;CEFTAZIDIME
ARP001470;FEROX - B/ 30;ACIDE FOLIQUE / FER ELEMENT / SELENIUM / VITAMINE B 12 / VITAMINE E;VITAMINE B 12;VITAMINE B 12
ARP000013;ACEFYL SP - FLACON/120 ml;ACEPHYLLINE PIPERAZINE / DIPHENHYDRAMINE-HCL;ACEPHYLLINE PIPERAZINE;ACEPHYLLINE PIPERAZINE
ARP000013;ACEFYL SP - FLACON/120 ml;ACEPHYLLINE PIPERAZINE / DIPHENHYDRAMINE-HCL;DIPHENHYDRAMINE-HCL;DIPHENHYDRAMINE HCL
ARP000088;ALCOF-C - FLACON/100 ml;CHLORHYDRATE DE CETRIZINE / CHLORHYDRATE DE PHENYLEPHRINE / HYDROBROMIDE DE DEXTROMETHORPHANE / MENTHOL;MENTHOL;MENTHOL
ARP000713;CEFIXIME SP - nan;CEFIXIME;CEFIXIME;CEFIXIME
ARP003210;SALIFEN - nan;DICLOFENAC / MENTHOL / SALICYLATE DE METHYLE;MENTHOL;MENTHOL
ARP001717;GRAMOCEF O - FLACON/100 ml;CEFIXIME;CEFIXIME;CEFIXIME
ARP001717;GRAMOCEF O - BOITE/10;CEFIXIME;CEFIXIME;CEFIXIME
ARP001954;IXINE - nan;CEFIXIME;CEFIXIME;CEFIXIME
ARP001613;France LAIT PREMIUM 1 - nan;LAIT;LAIT;LAIT
ARP000316;ARTESUN - nan;ARTESUNATE;ARTESUNATE;ARTESUNATE
ARP003102;REVITAL GINSENG - nan;MILTIVITAMINES;MILTIVITAMINES;MILTIVITAMINES
ARP003986;ZINC PLUS SRO - nan;CHLORURE DE POTASSIUM / CHLORURE DE SODIUM / CITRATE DE SODIUM / GLUCOSE ANHYDRE / ZINC ELEMENTAIRE;ZINC ELEMENTAIRE;ZINC ELEMENTAIRE
ARP003867;VITAGLOBIN - nan;ACIDE FOLIQUE / FERRIC AMMONIUM CITRATE / NICOTINAMIDE / VITAMINE B 12 / VITAMINE B1 / VITAMINE B6;FERRIC AMMONIUM CITRATE;FERRIC AMMONIUM CITRATE
ARP003867;VITAGLOBIN - nan;ACIDE FOLIQUE / FERRIC AMMONIUM CITRATE / NICOTINAMIDE / VITAMINE B 12 / VITAMINE B1 / VITAMINE B6;VITAMINE B 12;VITAMINE B 12
ARP001590;FRANCE LAIT 2 NOURRISSON - nan;LAIT;LAIT;LAIT
ARP000470;BACILOR - BOITE / 20;LACTOBACILLUS CASEI VARIETE RHAMNOSUS;LACTOBACILLUS CASEI VARIETE RHAMNOSUS;LACTOBACILLUS CASEI VARIETE RHAMNOSUS
ARP001585;FOTAZ - nan;CEFIXIM;CEFIXIM;CEFIXIM
ARP003705;TROYZIDIM - nan;CEFTAZIDIME;CEFTAZIDIME;CEFTAZIDIME
ARP001965;JENTIN-MET - nan;CHLORHYDRATE DE METFORMINE / SITAGLIPTINE MONOHYDRATE;SITAGLIPTINE MONOHYDRATE;SITAGLIPTINE MONOHYDRATE
ARP003406;SULFADOXINE PYRIMETHAMINE - nan;SULFADOXINE PYRIMETHAMINE;SULFADOXINE PYRIMETHAMINE;SULFADOXINE PYRIMETHAMINE
ARP003739;UMBELLICA SKIN - nan;SULFADOXINE PYRIMETHAMINE;SULFADOXINE PYRIMETHAMINE;SULFADOXINE PYRIMETHAMINE
ARP000470;BACILOR - SACHET B/10;LACTOBACILLUS CASEI VARIETE RHAMNOSUS;LACTOBACILLUS CASEI VARIETE RHAMNOSUS;LACTOBACILLUS CASEI VARIETE RHAMNOSUS
ARP001756;GYNOPHILUS - nan;LACTOBACILLUS CASEI VARIETE RHAMNOSUS;LACTOBACILLUS CASEI VARIETE RHAMNOSUS;LACTOBACILLUS CASEI VARIETE RHAMNOSUS
ARP001487;FINANEMI - nan;FER III;FER III;FER III
ARP001589;FRANCE LAIT 1 NOURRISSON - nan;LAIT;LAIT;LAIT
ARP001590;FRANCE LAIT 2 NOURRISSON - nan;nan;nan;NAN
ARP002747;PALUCARE - nan;DIHYDROARTEMISININE / PHOSPHATE DE PIPERAQUINE;DIHYDROARTEMISININE;DIHYDROARTEMISININE
ARP003004;PYODINE - nan;IODE DE POVIDONE;IODE DE POVIDONE;IODE DE POVIDONE
ARP000514;BERRIN - nan;MEBEVERINE;MEBEVERINE;MEBEVERINE
ARP002166;LOPERAMIDE UBIGEN - nan;LOPERAMIDE HYDROCHLORIDE;LOPERAMIDE HYDROCHLORIDE;LOPERAMIDE HYDROCHLORIDE
ARP002023;KLACEF - nan;ACIDE CLAVULANIQUE / CEFIXIME;CEFIXIME;CEFIXIME
ARP000874;CLOMILEN - BOITE / 10;CLOMIFENE CITRATE;CLOMIFENE CITRATE;CLOMIFENE CITRATE
ARP003559;TERCEFIX - BOITE / 10;CEFIXIME;CEFIXIME;CEFIXIME
ARP003668;TRICEF - BOITE / 8;CEFIXIME;CEFIXIME;CEFIXIME
ARP001954;IXINE - B/10;CEFIXIME;CEFIXIME;CEFIXIME
ARP001621;GARDASIL - nan;VACCIN PAPILLOMAVIRUS HUMAIN [types 6, 11, 16, 18] (RECOMBIN);VACCIN PAPILLOMAVIRUS HUMAIN [types 6, 11, 16, 18] (RECOMBIN);VACCIN PAPILLOMAVIRUS HUMAIN [TYPES 6, 11, 16, 18] (RECOMBIN)
ARP001325;ENDOPROST - B/1;CARBOPROST TROMETHAMINE;CARBOPROST TROMETHAMINE;CARBOPROST TROMETHAMINE
ARP002952;PREVENAR 13 - nan;POLYOSIDES PNEUMOCOCCIQUES;POLYOSIDES PNEUMOCOCCIQUES;POLYOSIDES PNEUMOCOCCIQUES
ARP000708;CEFEXOL DS - nan;CEFIXIME;CEFIXIME;CEFIXIME
ARP000520;BETADINE ALCOOLIQUE - nan;PROVIDONE IODEE, ETHANOL;PROVIDONE IODEE, ETHANOL;PROVIDONE IODEE, ETHANOL
ARP001966;JESPER - BOITE / 5;CLOMIFENE;CLOMIFENE;CLOMIFENE
ARP000743;CELIPROLOL BIOGARAN - BOITE / 28;CELIPROLOL;CELIPROLOL;CELIPROLOL
ARP003659;TREVIAMET - BOITE / 14;SITAGLIPTINE, METFORMINE;SITAGLIPTINE, METFORMINE;SITAGLIPTINE, METFORMINE
ARP003391;STOPALGIC - BOITE / 400;PARACETAMOL (ACETAMINOPHENE);PARACETAMOL (ACETAMINOPHENE);PARACETAMOL (ACETAMINOPHENE)
ARP001025;CYVAX - FLACON / 120 DOSES;FLUTICASONE, SALMETEROL;FLUTICASONE, SALMETEROL;FLUTICASONE, SALMETEROL
ARP001951;IVEPRAN - BOITE / 5;nan;nan;NAN
ARP001498;FLATORIL - BOITE / 45;CLEBOPRIDE, SIMETICONE;CLEBOPRIDE, SIMETICONE;CLEBOPRIDE, SIMETICONE
ARP000900;CO-TAREG - BOITE / 28;VALSARTAN, HYDROCHLOTHIAZIDE;VALSARTAN, HYDROCHLOTHIAZIDE;VALSARTAN, HYDROCHLOTHIAZIDE
ARP000104;ALFUZOSINE BIOGARAN - BOITE / 30;ALFUZOSINE;ALFUZOSINE;ALFUZOSINE
ARP000073;AIRMOL - FLACON / 100 ml;SALBUTAMOL (ALBUTEROL), BROMXHEXINE, GUAIFENESIN;SALBUTAMOL (ALBUTEROL), BROMXHEXINE, GUAIFENESIN;SALBUTAMOL (ALBUTEROL), BROMXHEXINE, GUAIFENESIN
ARP002903;PLASMOCUR - FLACON / 90 ml;DIHYDROATEMISININE, PIPERAQUINE PHOSPHATE;DIHYDROATEMISININE, PIPERAQUINE PHOSPHATE;DIHYDROATEMISININE, PIPERAQUINE PHOSPHATE
ARP000908;CO-VEPRAN - BOITE / 28;IRBESARTAN, HYDROCHLOROTHIAZIDE;IRBESARTAN, HYDROCHLOROTHIAZIDE;IRBESARTAN, HYDROCHLOROTHIAZIDE
ARP001774;HAEM UP - FLACON / 200 ml;FER, ACIDE FOLIQUE, VITAMINE B12, CUPRIQUE, MAGAN;FER, ACIDE FOLIQUE, VITAMINE B12, CUPRIQUE, MAGAN;FER, ACIDE FOLIQUE, VITAMINE B12, CUPRIQUE, MAGAN
ARP001658;GENSIL - FLACON / 100 ml;Codéine /Extrait fluide d’érysimum;Extrait fluide d’érysimum;EXTRAIT FLUIDE D’ERYSIMUM
ARP004017;ZYLTAN AM - BOITE / 30;AMLODIPINE, LOSARTAN;AMLODIPINE, LOSARTAN;AMLODIPINE, LOSARTAN
ARP003933;XYKAA PLUS - BOITE / 20;CHLORPHENIRAMINE, PHENYLEPHRINE, PARACETAMOL (ACETAMINOPHENE), CAFEINE;CHLORPHENIRAMINE, PHENYLEPHRINE, PARACETAMOL (ACETAMINOPHENE), CAFEINE;CHLORPHENIRAMINE, PHENYLEPHRINE, PARACETAMOL (ACETAMINOPHENE), CAFEINE
ARP003505;TAXIM-O - BOITE / 10;CEFIXIME;CEFIXIME;CEFIXIME
ARP000839;CITRATE D’AMMONIUM FERRIQUE - FLACON / 15 ml;CITRATE D’AMMONIUM FERRIQUE, ACIDE FOLIQUE, VITAMINE B12;CITRATE D’AMMONIUM FERRIQUE, ACIDE FOLIQUE, VITAMINE B12;CITRATE D’AMMONIUM FERRIQUE, ACIDE FOLIQUE, VITAMINE B12
ARP000712;CEFIXIME BIOGARAN - BOITE / 8;CEFIXIME;CEFIXIME;CEFIXIME
ARP002246;MARIMER ISOTONIQUE BABY - FLACON / 100 ml;EAU DE MER DILUÉE HYPERTONIQUE (EQUIVALENCE A 22 G / L DE SELS);EAU DE MER DILUÉE HYPERTONIQUE (EQUIVALENCE A 22 G;EAU DE MER DILUEE HYPERTONIQUE (EQUIVALENCE A 22 G
ARP002246;MARIMER ISOTONIQUE BABY - FLACON / 100 ml;EAU DE MER DILUÉE HYPERTONIQUE (EQUIVALENCE A 22 G / L DE SELS);L DE SELS);L DE SELS)
ARP002245;MARIMER HYPERTONIQUE - FLACON / 100 ml;EAU DE MER DILUÉE HYPERTONIQUE (EQUIVALENCE A 22 G / L DE SELS);EAU DE MER DILUÉE HYPERTONIQUE (EQUIVALENCE A 22 G;EAU DE MER DILUEE HYPERTONIQUE (EQUIVALENCE A 22 G
ARP002245;MARIMER HYPERTONIQUE - FLACON / 100 ml;EAU DE MER DILUÉE HYPERTONIQUE (EQUIVALENCE A 22 G / L DE SELS);L DE SELS);L DE SELS)
ARP003007;PYRAMAX - BOITE / 90;ARTESUNATE, PYRONARIDINE;ARTESUNATE, PYRONARIDINE;ARTESUNATE, PYRONARIDINE
ARP002495;NETAZOX CP - BOITE / 6;NITAZOXANIDE;NITAZOXANIDE;NITAZOXANIDE
ARP001573;FORADIL - BOITE / 60 GELULES;FORMOTEROL;FORMOTEROL;FORMOTEROL
ARP001573;FORADIL - BOITE / 30 GELULES;FORMOTEROL;FORMOTEROL;FORMOTEROL
ARP000644;CALCID-DENK - BOITE / 20;CALCIUM / VITAMINE D3;CALCIUM;CALCIUM
ARP001063;DAP - FLACON / 120 ml;ACEFYLLINE PIPERAZINE, DIPHENHYDRAMINE;ACEFYLLINE PIPERAZINE, DIPHENHYDRAMINE;ACEFYLLINE PIPERAZINE, DIPHENHYDRAMINE
ARP003843;VIFEX - FLACON / 100 ml;SALBUTAMOL (ALBUTEROL), BROMHEXINE, GUAIFENESIN;SALBUTAMOL (ALBUTEROL), BROMHEXINE, GUAIFENESIN;SALBUTAMOL (ALBUTEROL), BROMHEXINE, GUAIFENESIN
ARP003740;UMBIPRO - BOITE / 7;CHLORHEXIDINE;CHLORHEXIDINE;CHLORHEXIDINE
ARP003332;SPASFON INJ - BOITE / 6;PHLOROGLUCINOL;PHLOROGLUCINOL;PHLOROGLUCINOL
ARP003087;RENERVE PLUS BT - BOITE / 30;MINERAUX / VITAMINE;MINERAUX;MINERAUX
ARP002280;MEGASFON - BOITE / 8;PHLOROGLUCINOL, TRIMETHYLPHLOROGLUCINOL;PHLOROGLUCINOL, TRIMETHYLPHLOROGLUCINOL;PHLOROGLUCINOL, TRIMETHYLPHLOROGLUCINOL
ARP002903;PLASMOCUR - FLACON / 60 ml;DIHYDROARTEMISININE / PHOSPHATE DE PIPERAQUINE;DIHYDROARTEMISININE;DIHYDROARTEMISININE
ARP002238;MAGTAM - BOITE / 1 FLACON;CEFOPERAZONE / SULBACTAM;CEFOPERAZONE;CEFOPERAZONE
ARP003918;XELIPROST - BOITE / 10;TEROZOSINE;TEROZOSINE;TEROZOSINE
ARP000300;ARTECOM - BOITE / 8;DIHYDROARTEMISININE / PIPERAQUINE / TRIMETHOPRIME;DIHYDROARTEMISININE;DIHYDROARTEMISININE
ARP000300;ARTECOM - BOITE / 8;DIHYDROARTEMISININE / PIPERAQUINE / TRIMETHOPRIME;PIPERAQUINE;PIPERAQUINE
ARP003122;RHUVEX - BOITE / 8;ASCORBIQUE / PARACETAMOL / PHENIRAME MALEATE;ASCORBIQUE;ASCORBIQUE
ARP003122;RHUVEX - BOITE / 8;ASCORBIQUE / PARACETAMOL / PHENIRAME MALEATE;PHENIRAME MALEATE;PHENIRAME MALEATE
ARP003398;STRIMOL EXTRA - BOITE / 20;ACETAMINOPHENE / ACIDE ASCORBIQUE;ACETAMINOPHENE;ACETAMINOPHENE
ARP003004;PYODINE - FLACON / 60 ml;IODE DE POVIDONE;IODE DE POVIDONE;IODE DE POVIDONE
ARP001563;FLUTIFORM - FLACON PRESSURISE/120 DOSES;FLUTICASONE PROPIONATE / FUMARATE DE FORMOTEROL DIHYDRATE;FLUTICASONE PROPIONATE;FLUTICASONE PROPIONATE
ARP003238;SECUVIT - FLACON / 200 ml;VITAMINE ET MINERAUX;VITAMINE ET MINERAUX;VITAMINE ET MINERAUX
ARP002453;NABYOL FORTE - BOITE / 50;NITROXOLINE;NITROXOLINE;NITROXOLINE
ARP003426;SUPRADYN - BOITE / 10;VITAMINE ET MINERAUX;VITAMINE ET MINERAUX;VITAMINE ET MINERAUX
ARP001966;JESPER - BOITE / 10;CLOMIFENE CITRATE;CLOMIFENE CITRATE;CLOMIFENE CITRATE
ARP003897;VOVGEL - TUBE / 30 G;DICLOFENAC DIETHYLAMINE / HUILE DE LIN / SALICYLATE DE METHYLE;HUILE DE LIN;HUILE DE LIN
ARP000004;A-CERUMEN - BOITE / 10 RECIPIENTS UNIDOSES;SOLUTION D’ACYL SACORZINAT DE SODIUM / SOLUTION DE LORATE DE SACAROSE;SOLUTION D’ACYL SACORZINAT DE SODIUM;SOLUTION D’ACYL SACORZINAT DE SODIUM
ARP000004;A-CERUMEN - BOITE / 10 RECIPIENTS UNIDOSES;SOLUTION D’ACYL SACORZINAT DE SODIUM / SOLUTION DE LORATE DE SACAROSE;SOLUTION DE LORATE DE SACAROSE;SOLUTION DE LORATE DE SACAROSE
ARP003250;SENSOCAINE - BOITE / 1 AMPOULE;CHLORHYDRATE DE BUPIVACAINE / DEXTROSE ANHYDRE;DEXTROSE ANHYDRE;DEXTROSE ANHYDRE
ARP003005;PYODINE SCRUB - FLACON / 450 ml;IODE DE POVIDONE;IODE DE POVIDONE;IODE DE POVIDONE
ARP002719;OXOFERIN - FLACON / 50 ml;TETRACHLORODECAOXIDE;TETRACHLORODECAOXIDE;TETRACHLORODECAOXIDE
ARP001237;DREZ - FLACON / 100 ml;IODE DE POVIDONE / METRONIDAZOLE;IODE DE POVIDONE;IODE DE POVIDONE
ARP001073;DECODERM TRI - TUBE / 15 G;ACETATE DE 21-FLUPREDNIDENE / NITRATE DE MICONAZOLE;ACETATE DE 21-FLUPREDNIDENE;ACETATE DE 21 FLUPREDNIDENE
ARP000855;CLARTEC - BOITE / 30;LORATADINE MICRONISE;LORATADINE MICRONISE;LORATADINE MICRONISE
ARP002585;NURAVIT CP - BOITE / 15;ACIDE ASCORBIQUE / CYPROHEPTADINE CHLORHYDRATE / NICOTINAMIDE / PYRIDOXINE CHLORHYDRATE / RIBOFLAVINE BASE / THIAMINE CHLORHYDRATE;CYPROHEPTADINE CHLORHYDRATE;CYPROHEPTADINE CHLORHYDRATE
ARP001047;D-ARTEPP - BOITE / 6;DIHYDROARTEMISININE / PIPERAQUINE PHOSPHATE;DIHYDROARTEMISININE;DIHYDROARTEMISININE
ARP001546;FLUDOL P PLUS - FLACON / 60 ml;CHLORPHENIRAME MALEATE / PARACETAMOL / PHENYLEPHRINE HYDROCHLORIDE;PHENYLEPHRINE HYDROCHLORIDE;PHENYLEPHRINE HYDROCHLORIDE
ARP001811;HEXAXIM - BOITE / 1 SERINGUE PRE REMPLIE / 1 DOSE 0,5 ml;VACCINS BACTERIENS ET VIRAUX COMBINES;VACCINS BACTERIENS ET VIRAUX COMBINES;VACCINS BACTERIENS ET VIRAUX COMBINES
ARP003254;SEPTIDERM - FLACON / 200 ml;IODE DE POVIDONE;IODE DE POVIDONE;IODE DE POVIDONE
ARP000995;CROISCARD-E - FLACON / 150 ml;CALCIUM / VITAMINE D3;CALCIUM;CALCIUM
ARP003337;SPASMOCALM - BOITE / 20;PHLOROGLUCINOL;PHLOROGLUCINOL;PHLOROGLUCINOL
ARP003154;ROCEZID - BOITE / 1;CEFTAZIDIME;CEFTAZIDIME;CEFTAZIDIME
ARP003499;TASIGNA - BOITE / 28;CHLORHYDRATE MONOHYDRATE DE NILOTINIB;CHLORHYDRATE MONOHYDRATE DE NILOTINIB;CHLORHYDRATE MONOHYDRATE DE NILOTINIB
ARP001161;DIFRAREL - BOITE / 20;BETA CAROTENE / EXTRAIT ANTHACYANOSIDIQUE DE VACCINIUM MYRTILLUS / BETA CAROTENE;EXTRAIT ANTHACYANOSIDIQUE DE VACCINIUM MYRTILLUS;EXTRAIT ANTHACYANOSIDIQUE DE VACCINIUM MYRTILLUS
ARP002744;PAIDOTERIN SP - FLACON / 60 ml;CHLORHYDRATE DE DIPHENYDRAMINE / CHLORHYDRATE DE PHENYLEPHRINE / GUAICOL GLYCERYL ETHER / MALEATE DE CHLORPHENIRAMINE;GUAICOL GLYCERYL ETHER;GUAICOL GLYCERYL ETHER
ARP000797;CHOPHYTOL - FLACON / 120 ml;ARTICHAUT EXTRAIT AQUEUX;ARTICHAUT EXTRAIT AQUEUX;ARTICHAUT EXTRAIT AQUEUX
ARP003682;TRIMETABOL - FLACON / 150 ml;DL-CARNITINE HCL / L.LYSINE HCL;L.LYSINE HCL;L.LYSINE HCL
ARP000647;CALCIO B.C. - BOITE / 20;MINERAUX / VITAMINE;MINERAUX;MINERAUX
ARP002722;OXYNAL AD - FLACON / 10 ml;OXYMETAZOLINE;OXYMETAZOLINE;OXYMETAZOLINE
ARP000092;ALDOMET - BOITE / 30;HYDROCHLORURE DE METHYLDOPA;HYDROCHLORURE DE METHYLDOPA;HYDROCHLORURE DE METHYLDOPA
ARP002723;OXYNAL PEDIATRIQUE - FLACON / 10 ml;OXYMETAZOLINE;OXYMETAZOLINE;OXYMETAZOLINE
ARP003658;TRESIBA FLEX TOUCH - STYLO PRE REMPLI DE 3 ml B / 1;INSULINE;INSULINE;INSULINE
ARP000864;CLAVUMOCCID - BOITE / 12;AMOXICILLINE ACIDE CLAVULANIQUE /;AMOXICILLINE ACIDE CLAVULANIQUE;AMOXICILLINE ACIDE CLAVULANIQUE
ARP000312;ARTEQUICK - BOITE / 4;ARTEMISININE / PIPERAQUINE;ARTEMISININE;ARTEMISININE
ARP000312;ARTEQUICK - BOITE / 4;ARTEMISININE / PIPERAQUINE;PIPERAQUINE;PIPERAQUINE
ARP000489;BASIFLUX SP - FLACON / 200 ml;BROMHEXINE;BROMHEXINE;BROMHEXINE
ARP001490;FIXIM - BOITE / 10;CEFIXIME;CEFIXIME;CEFIXIME
ARP001634;GBACTIN - BOITE/24;THIAMPHENICOL;THIAMPHENICOL;THIAMPHENICOL
ARP003882;VITAVIT SIROP FLACON - FLACON / 100 ml;MULTIVITAMINES;MULTIVITAMINES;MULTIVITAMINES
ARP002276;MEGACEF - BOITE / 16;CEFIXIME;CEFIXIME;CEFIXIME
ARP002276;MEGACEF - FLACON / 60 ml;CEFIXIME;CEFIXIME;CEFIXIME
ARP001491;FIXIM SP - FLACON / 60 ml;CEFIXIME;CEFIXIME;CEFIXIME
ARP000929;COLINIL - FLACON / 15 ml;BASE SIRUPEUSE / HUILE D’ANETH / HUILE DE FENOUIL / SIMETHICONE;BASE SIRUPEUSE;BASE SIRUPEUSE
