Code_ARP;Libelle_medicament
ARP001025;CYVAX - FLACON / 120 DOSES
ARP000359;ATENOLOL BIOGARAN - BOITE / 30
ARP002954;PRILIGY - BOITE / 3
ARP001103;DESLOCREAT - BOITE / 10
ARP001934;IRBESARTAN / HYDROCHLOROTHIAZIDE BIOGARAN - BOITE / 30
ARP001935;IRBESARTAN BGR - BOITE / 30
ARP003691;TROMETH - BOITE / 5
ARP003206;SALBUTAMOL ARROW - BOITE / 60 RECIPIENTS UNIDOSES
ARP002989;PROPRANOLOL BIOGARAN - BOITE / 50
ARP000234;ANASTROZOLE BIOGARAN - BOITE / 30
ARP003834;VIADIS - BOITE / 4
ARP000542;BICALUTAMIDE BIOGARAN - BOITE / 30
ARP001951;IVEPRAN - BOITE / 5
ARP001498;FLATORIL - BOITE / 45
ARP000900;CO-TAREG - BOITE / 28
ARP002065;LAMOTRIGINE ARROW LAB - 18287
ARP003247;SELEPIME - BOITE / 1 FLACON
ARP000104;ALFUZOSINE BIOGARAN - BOITE / 30
ARP001216;DOMPERIDONE BIOGARAN - BOITE / 20
ARP000073;AIRMOL - FLACON / 100 ml
ARP002903;PLASMOCUR - FLACON / 90 ml
ARP002381;MOBITIL - BOITE / 10
ARP000662;CAPECITABINE BIOGARAN - BOITE / 60
ARP000662;CAPECITABINE BIOGARAN - BOITE / 120
ARP000415;AZIX SUSP BUV - FLACON / 150 ml
ARP000908;CO-VEPRAN - BOITE / 28
ARP001774;HAEM UP - FLACON / 200 ml
ARP002095;LETROZOLE BIOGARAN - BOITE / 30
ARP001658;GENSIL - FLACON / 100 ml
ARP002149;LITAMOL - BOITE / 80
ARP000403;AZICURE - FLACON / 15 ml
ARP003793;VALPROATE-GH - FLACON / 150 ml
ARP001262;DYNAPAR SR - BOITE / 100
ARP001260;DYNAPAR EC - BOITE / 100
ARP001258;DYNAPAR - TUBE / 30 G
ARP002093;LESSTROL - BOITE / 30
ARP003702;TROYPANTO LP - BOITE / 10
ARP003523;TELMIKAA AM - BOITE / 30
ARP004017;ZYLTAN AM - BOITE / 30
ARP003933;XYKAA PLUS - BOITE / 20
ARP003505;TAXIM-O - BOITE / 10
ARP002663;OMEPRAZOLE UBITHERA - BOITE 10 BLISTERS DE 10 GELULES
ARP001150;DICLOFENAC UBITHERA - BOITE / 100
ARP000308;ARTEMETHER UBITHERA - BOITE / 10
ARP000839;CITRATE D’AMMONIUM FERRIQUE - FLACON / 15 ml
ARP004001;ZOCIN SIROP - FLACON / 15 ml
ARP002660;OMEPRAL - BOITE / 28
ARP002477;NEBIVOLOL BIOGARAN - BOITE / 30
ARP000176;AMLODIPINE BIOGARAN - BOITE / 30
ARP000712;CEFIXIME BIOGARAN - BOITE / 8
ARP002160;LOMET - BOITE / 7
ARP002897;PIROCAM SOTHEMA - BOITE / 10
ARP003965;ZELVA - FLACON / 10 ml
ARP003965;ZELVA - FLACON / 50 ml
ARP003943;YPEVA - FLACON / 4 ml
ARP002915;PODOCEF - BOITE / 10
ARP003230;SCOLTA - BOITE / 30
ARP000909;COAMOX - BOITE / 12
ARP003415;SULRID - BOITE / 20
ARP002246;MARIMER ISOTONIQUE BABY - FLACON / 100 ml
ARP004006;ZOLMITRIPTAN BIOGARAN - BOITE / 12
ARP002245;MARIMER HYPERTONIQUE - FLACON / 100 ml
ARP001879;IMMUNO HBS - FLACON / 1 ml
ARP000549;BILAXTEN - BOITE / 20
ARP001879;IMMUNO HBS - FLACON / 3 ml
ARP003943;YPEVA - FLACON / 16 ml
ARP002108;LEVOFLOX - BOITE / 8
ARP003772;UVEDOSE - B/1 AMPOULE DE 2 ml
ARP003007;PYRAMAX - BOITE / 90
ARP002313;METFORMINE BGR - BOITE / 30
ARP002495;NETAZOX CP - BOITE / 6
ARP003529;TEMERIT DUO - BOITE / 30
ARP000808;CILOXAN - T / 3,5 MG
ARP001573;FORADIL - BOITE / 60 GELULES
ARP001573;FORADIL - BOITE / 30 GELULES
ARP000808;CILOXAN - T/ 3,5 G
ARP000644;CALCID-DENK - BOITE / 20
ARP000241;ANDOL - BOITE / 20
ARP001063;DAP - FLACON / 120 ml
ARP003345;SPIREX PLUS - BOITE / 20
ARP003955;ZAXTER - BOITE / 1 FLACON
ARP000857;CLAVAM - BOITE / 1 FLACON
ARP002561;NORMET - FLACON / 30 ml
ARP003653;TRAVONORM - FLACON / 5 ml
ARP000083;ALBENDAZOLE UBITHERA - BOITE DE 50 BLISTER/1
ARP003843;VIFEX - FLACON / 100 ml
ARP003918;XELIPROST - BOITE / 10
ARP003740;UMBIPRO - BOITE / 7
ARP001597;FUCIDINE - FLACON / 50 ml
ARP000159;AMCARD - BOITE / 28
ARP002553;NOFEBRIL - BOITE / 20
ARP000966;COSYREL - BOITE / 30
ARP003332;SPASFON INJ - BOITE / 6
ARP002158;LOLIP - BOITE / 30
ARP003331;SPASFON - BOITE / 10
ARP003952;ZANIDIP - BOITE / 30
ARP003999;ZOCEF - BOITE / 1 FLACON
ARP003219;SAPHIR - BOITE / 12
ARP003087;RENERVE PLUS BT - BOITE / 30
ARP003487;TAMOXIFEN NOVARTIS ACCESS - BOITE / 30
ARP002953;PREZISTA - BOITE / 240
ARP001596;FUCICORT - TUBE / 15 G
ARP001682;GLIMEPIRIDE NOVARTIS ACCESS - BOITE / 30
ARP002798;PARACO DENK - BOITE / 20
ARP002275;MEFSAL - BOITE / 20
ARP003219;SAPHIR - BOITE / 16
ARP002292;MENOPUR - nan
ARP002280;MEGASFON - BOITE / 8
ARP000638;CA C 1000 JUNIOR - BOITE / 10
ARP002903;PLASMOCUR - FLACON / 60 ml
ARP000045;ACURE - FLACON / 30 ml
ARP002238;MAGTAM - BOITE / 1 FLACON
ARP001659;GENTA - FLACON / 10 ml
ARP000187;AMLOTROY - BOITE / 30
ARP000241;ANDOL - BOITE / 10
ARP003220;SAPHIR SIROP - FLACON / 60 ml
ARP001682;GLIMEPIRIDE NOVARTIS ACCESS - BOITE / 90
ARP003219;SAPHIR - BOITE / 24
ARP003819;VEPRAN - BOITE / 28
ARP001059;DAIVOBET - TUBE / 60 G
ARP002409;MPEN - BOITE / 1 FLACON
ARP001474;FERRO-DENK - BOITE / 50
ARP002275;MEFSAL - BOITE / 10
ARP002707;OSPAMOX - BOITE / 12
ARP002280;MEGASFON - BOITE / 20
ARP000300;ARTECOM - BOITE / 8
ARP002838;PENTASA - BOITE / 15
ARP000045;ACURE - BOITE / 6
ARP000909;COAMOX - FLACON / 100 ml
ARP001700;GLUCOSE MISSION PHARMA - FLACON / 500 ml
ARP000786;CHLORURE DE SODIUM MISSION PHARMA - FLACON / 500 ml
ARP000582;BISPIRAZOLE - BOITE / 15
ARP000309;ARTEMETHER UBITHERA 20MG - BOITE / 10
ARP001452;FEMADEXIL - BOITE / 10
ARP003331;SPASFON - BOITE / 30
ARP004003;ZOLADEX - SERINGUE PRE-REMPLIE
ARP000579;BISOPROLOL NOVARTIS ACCESS - BOITE / 30
ARP002045;LACTATE DE SODIUM MISSION PHARMA - FLACON / 100 ml
ARP002168;LOPHYDINE - BOITE / 20
ARP001125;DIAMIN - BOITE / 30
ARP003122;RHUVEX - BOITE / 8
ARP000909;COAMOX - FLACON / 70 ml
ARP002564;NORMOCARDIL - BOITE / 45
ARP002846;PERINDOGEN - BOITE / 30
ARP002386;MONAST - BOITE / 30
ARP002312;METFORMINE ARROW LAB - BOITE / 90
ARP002311;METFORMINE ARROW - BOITE / 90
ARP003398;STRIMOL EXTRA - BOITE / 20
ARP000860;CLAVICIN - BOITE / 10
ARP002287;MELONAX - BOITE / 10
ARP003333;SPASFON LYOC - BOITE / 10
ARP003775;UVESTEROL ADEC - FLACON / 10 ml
ARP000730;CEFTRIAXONE STRIDES - BOITE / 1 FLACON
ARP003004;PYODINE - FLACON / 60 ml
ARP001178;DISMIGRAS - BOITE / 30
ARP000027;ACIDE FUSIDIQUE - TUBE / 15 G
ARP001563;FLUTIFORM - FLACON PRESSURISE/120 DOSES
ARP002316;METFORMINE NOVARTIS - BOITE / 60
ARP002124;LIBRAX - BOITE / 30
ARP003238;SECUVIT - FLACON / 200 ml
ARP001147;DICLOFECOM - TUBE / 60 G
ARP002357;MICROLUT - BOITE / 3 x 28
ARP002453;NABYOL FORTE - BOITE / 50
ARP003426;SUPRADYN - BOITE / 10
ARP003145;RINOGRIP SANS SUCRE - BOITE / 10
ARP002891;PILMO - BOITE / 14
ARP003699;TROYFUROX - BOITE / 1 FLACON / 10 ml
ARP002891;PILMO - BOITE / 28
ARP000037;ACTINAC - BOITE / 10
ARP000328;ARTRIM - FLACON / 60 ml
ARP002583;NUPENTA DSR - BOITE / 30
ARP002302;MET XL - COMPRIME
ARP001552;FLUOMAC - BOITE / 1
ARP001998;KEFPIME - BOITE / 1 FLACON DE 10ml
ARP003040;RABEMAC - BOITE / 10
ARP002634;OFLOMAC OD - BOITE / 5
ARP001020;CYCLODEX - BOITE / 14
ARP000590;BONCIPRO - BOITE / 20
ARP000554;BINOZYT - BOITE / 3
ARP003208;SALBUTUS - FLACON / 100 ml
ARP000113;ALGOFENE - BOITE / 30
ARP003656;TRENAXA - BOITE / 30
ARP002665;OMIZ - BOITE / 14
ARP003855;VIRECTIL - BOITE / 1
ARP003855;VIRECTIL - BOITE / 4
ARP000113;ALGOFENE - FLACON / 150 ml
ARP002740;PACLITAXEL INJ - BOITE / 5 FLACONS
ARP001194;DOLIMEX - FLACON / 100 ml
ARP002371;MINOXIN PLUS - FLACON / 60 ml
ARP002370;MINOXIN - FLACON / 60 ml
ARP002160;LOMET - BOITE / 14
ARP002160;LOMET - BOITE / 28
ARP003512;TEDEMA LP - BOITE / 30
ARP003519;TELI - BOITE / 30
ARP001966;JESPER - BOITE / 10
ARP001888;INDAPAMIDE - BOITE / 60
ARP003897;VOVGEL - TUBE / 30 G
ARP002031;L-CET - FLACON / 100 ml
ARP002031;L-CET - BOITE / 20
ARP002081;LATANOSOL - FLACON / 2,5 ml
ARP000852;CLARITON - BOITE / 10
ARP000004;A-CERUMEN - BOITE / 10 RECIPIENTS UNIDOSES
ARP002658;OMEGEN - BOITE / 14
ARP002779;PARACETA - FLACON / 100 ml
ARP003250;SENSOCAINE - BOITE / 1 AMPOULE
ARP000663;CAPEN - BOITE / 30
ARP000159;AMCARD - BOITE / 14
ARP003005;PYODINE SCRUB - FLACON / 450 ml
ARP002658;OMEGEN - BOITE / 7
ARP002658;OMEGEN - BOITE / 28
ARP002719;OXOFERIN - FLACON / 50 ml
ARP001237;DREZ - FLACON / 100 ml
ARP002627;OFLO - FLACON / 40 ml
ARP001931;IPNODIS - BOITE / 10
ARP000030;ACLAV - BOITE / 16
ARP001073;DECODERM TRI - TUBE / 15 G
ARP000855;CLARTEC - BOITE / 30
ARP002585;NURAVIT CP - BOITE / 15
ARP001047;D-ARTEPP - BOITE / 6
ARP001546;FLUDOL P PLUS - FLACON / 60 ml
ARP000030;ACLAV - FLACON / 30 ml
ARP002689;ORCHAZID - FLACON / 5 ml
ARP001140;DICLO PHARM - BOITE / 20
ARP002738;PABAL INJ - BOITE / 5 FLACONS
ARP000100;ALFAMOX - FLACON / 100 ml
ARP002224;MACROMAX - FLACON / 30 ml
ARP001140;DICLO PHARM - BOITE / 10
ARP001811;HEXAXIM - BOITE / 1 SERINGUE PRE REMPLIE / 1 DOSE 0,5 ml
ARP003254;SEPTIDERM - FLACON / 200 ml
ARP000689;CARTLAMINE FORTE - BOITE / 30
ARP002054;LAMIVIDUNE /ZIDOVUDINE MACLEODS - BOITE / 60
ARP000995;CROISCARD-E - FLACON / 150 ml
ARP003337;SPASMOCALM - BOITE / 20
ARP001635;GBP - BOITE / 30
ARP003169;ROSUKAA - BOITE / 30
ARP002338;METRONIDAZOLE CREAT - BOITE / 100
ARP003120;RHUMAGRIP - BOITE / 16
ARP003154;ROCEZID - BOITE / 1
ARP000806;CIELNAC - BOITE / 10
ARP001200;DOLKO - BOITE / 8
ARP001812;HEXIDINE - FLACON / 60 ml
ARP003499;TASIGNA - BOITE / 28
ARP000276;APOTEL MAX - FLACON / 30 ml
ARP003524;TELMIKAA-H - BOITE / 30
ARP003473;T-DOL - BOITE / 2
ARP001161;DIFRAREL - BOITE / 20
ARP000906;CO-VALSARTAN WIN - BOITE / 28
ARP003637;TRACEDOL - BOITE / 16
ARP001102;DESLATYNE 5 - BOITE / 10
ARP002744;PAIDOTERIN SP - FLACON / 60 ml
ARP003636;TRABAR GOUTTE - FLACON / 10 ml
ARP003635;TRABAR - BOITE / 5 AMPOULES / 2 ml
ARP003870;VITAMINE A DULCIS - TUBE / 10 G
ARP001254;DUSPATALIN - BOITE / 30
ARP000797;CHOPHYTOL - FLACON / 120 ml
ARP002965;PROBITOR - BOITE / 14
ARP001969;JULMENTIN - BOITE / 20
ARP001969;JULMENTIN - BOITE / 1 FLACON
ARP003887;VOGALENE - BOITE / 10
ARP001004;CURAM 1000 - BOITE / 10
ARP000372;AUGMENTIN - BOITE / 16
ARP000033;ACTAPULGITE - BOITE / 10
ARP003682;TRIMETABOL - FLACON / 150 ml
ARP000155;AMAREL - BOITE / 30
ARP003515;TEGRETOL LP - BOITE / 30
ARP003888;VOGALENE GOUTTE FLACON - FLACON / 30 ml
ARP003889;VOGALENE SIROP FLACON - FLACON / 150 ml
ARP000629;BUTO ASMA - FLACON / 200 DOSES
ARP000629;BUTO ASMA - FLACON / 100 ml
ARP000372;AUGMENTIN - SACHET BOITE / 12
ARP003282;SILVEDERMA - TUBE / 50 G
ARP000647;CALCIO B.C. - BOITE / 20
ARP000372;AUGMENTIN - FLACON / 60 ml
ARP003047;RAMCOR - BOITE / 30
ARP002722;OXYNAL AD - FLACON / 10 ml
ARP000092;ALDOMET - BOITE / 30
ARP002684;OPTIFRESH CY - FLACON / 10 ml
ARP001581;FORTZAAR - BOITE / 28
ARP002723;OXYNAL PEDIATRIQUE - FLACON / 10 ml
ARP000854;CLARIVA - BOITE / 14
ARP001891;INDITOR-SR - BOITE / 30
ARP000402;AZIBACT - BOITE / 3
ARP000526;BETASTENE - BOITE / 20
ARP003658;TRESIBA FLEX TOUCH - STYLO PRE REMPLI DE 3 ml B / 1
ARP001513;FLORINE - BOITE / 30
ARP000271;APFLU - SACHETS BOITE /10
ARP002196;LUFANTER PEDIATRIQUE - BOITE / 6
ARP002953;PREZISTA - BOITE / 60
ARP000864;CLAVUMOCCID - BOITE / 12
ARP003431;SURDEX - FLACON / 60 ml
ARP000312;ARTEQUICK - BOITE / 4
ARP003770;UTERGIN - BOITE / 30
ARP000162;AMFOCIN - SACHET BOITE / 12
ARP000162;AMFOCIN - BOITE / 14
ARP000857;CLAVAM - BOITE / 16
ARP000489;BASIFLUX SP - FLACON / 200 ml
ARP001490;FIXIM - BOITE / 10
ARP003654;TREBON-N - BOITE / 8 STICKS
ARP000510;BEPANTHENE - TUBE / 30 G
ARP000884;CLOTRIMAZOL BASI - BOITE / 50 G + 7 APPLICATEURS
ARP003911;WORMIN SIROP - FLACON / 30 ml
ARP002992;PROTECT PILL - BOITE / 1
ARP001712;GORPILS - BOITE / 24
ARP002097;LEUTRIEN - BOITE / 30
ARP000152;AMADAY PL - BOITE / 10
ARP000584;BLAZEX - BOITE / 4
ARP000152;AMADAY PL - BOITE / 30
ARP000844;CLARADOL - BOITE / 16
ARP003153;ROCEPHINE - BOITE / 1 FLACON
ARP000755;CETAMYL - FLACON / 90 ml
ARP000363;ATORFIT AM - BOITE / 30
ARP001261;DYNAPAR QPS - FLACON / 30 ml
ARP000151;AMADAY - BOITE / 30
ARP001261;DYNAPAR QPS - FLACON / 15 ml
ARP000674;CARBEN - BOITE / 1
ARP001634;GBACTIN - BOITE/24
ARP003882;VITAVIT SIROP FLACON - FLACON / 100 ml
ARP001640;GELTIM - BOITE / 30 UNIDOSES
ARP000667;CAPTOPRIL ARROW - BOITE / 30
ARP002276;MEGACEF - BOITE / 16
ARP002368;MINOLIP - BOITE / 30
ARP002811;PAREXAT - BOITE / 14
ARP002276;MEGACEF - FLACON / 60 ml
ARP001491;FIXIM SP - FLACON / 60 ml
ARP003292;SINGULAIR - BOITE / 28
ARP001500;FLEMING - BOITE / 16
ARP001861;IBEX - BOITE / 12
ARP000244;ANGINIB - BOITE /28
ARP000097;ALEVO - BOITE / 5
ARP000857;CLAVAM - BOITE / 12
ARP000859;CLAVAM NOURRISSON - FLACON / 60 ml
ARP003440;SWITCH - BOITE / 10
ARP003756;UNOZIT - BOITE / 6
ARP003756;UNOZIT - BOITE / 3
ARP000645;CALCINIB - BOITE / 28
ARP000858;CLAVAM Enfant - FLACON / 60 ml
ARP003845;VIGOREX - BOITE / 4
ARP000072;AIRLIX - FLACON / 60 ml
ARP000072;AIRLIX - BOITE /15
ARP002486;NEOCIP - BOITE / 10
ARP000893;CO-ANGINIB - BOITE / 30
ARP000302;ARTEFAN - BOITE / 6
ARP000929;COLINIL - FLACON / 15 ml
ARP001999;KEFTAZ - BOITE / 1 FLACON
ARP000162;AMFOCIN - BOITE / 16
ARP000278;APRAMOL - BOITE / 8
ARP000011;ACCULOL - FLACON / 5 ml
ARP001003;CURAM - BOITE / 12
ARP001616;GALPEN - BOITE / 1 FLACON
ARP001520;FLUB CP - BOITE / 6
ARP001518;FLUB - FLACON / 30 ml
ARP001912;INSTACLOPS - BOITE / 30
ARP001713;GORPILS LIMON / MIEL - BOITE / 24
ARP000785;CHLORURE DE SODIUM DOUBLE DOVE - POCHE / 500 ml
ARP001695;GLUCOSE - POCHE / 500 ml
ARP003906;WELVIT PLUS - BOITE / 30
ARP001151;DICLOFENAC UMEDICA - BOITE / 100
ARP002741;PACLITEC - BOITE / 1 FLACON
ARP003748;UNICARB - FLACON / 45 ml
ARP003038;QUINTANA - BOITE / 14
ARP003822;VERAZEPAM VERVE - B / 10 AMPOULES/ 2 ml
ARP003038;QUINTANA - BOITE /14
ARP001705;GLUCOVANCE - B / 30
ARP001280;ECOMI - TUBE/30 G
ARP002323;METHYLDOPA MACLEODS - BOITE / 100
ARP001385;ESPRAZYL - BOITE/14
ARP001436;FASIDE - TUBE/15 G
ARP003522;TELMIKAA - BOITE/30
ARP001778;HALIBUT - TUBE/100 G
ARP003790;VALOVIR HETERO - BOITE / 10
ARP001393;ETOPOSIDE SANDOZ - BOITE / 1 FLACON
ARP001531;FLUCONA-DENK - BOITE / 10
ARP000688;CARTEOL LP - BOITE / 30 RECIPIENTS UNIDOSES
ARP001113;DEXACINE - FLACON/5 ml
ARP001755;GYNOMAX - BOITE/6
ARP001047;D-ARTEPP - BOITE / 9
ARP003133;RIFAMPICINE/ISONIAZIDE/ETHAMBUTOL - B/24 *48
ARP003949;ZAMOX - BOITE/16
ARP003254;SEPTIDERM - FLACON/200 ml
ARP000681;CARBOTOUX - FL/100 ml
ARP002799;PARACONICA - BOITE / 10 FLACONS / 100 ml
ARP000926;COLCIBRA - BOITE / 30
ARP002961;PRIORIX - FLACON/0,5 ml DE 1 DOSE
ARP002063;LAMIVUDINE/TENOFOVIR - B/30
ARP002142;LIRAPYN - BOITE / 28
ARP002120;LEVOTRIZ - B/10
ARP001006;CURTEC - FL/60 ml
ARP002142;LIRAPYN - B/28
ARP001134;DIAREAL - BOITE / 30
ARP003072;RAPIVAST - BOITE/30
ARP003794;VALSAR-DENK - B/28
ARP002133;LINCOCINE - FLACON / 60 ml
ARP003090;RESIFURANE - FL/250 ml
ARP000999;CROSCAL - BOITE / 15
ARP002271;MEDROL - BOITE / 30
ARP002133;LINCOCINE - BOITE / 12
ARP003477;TADAGEN - B/30
ARP000328;ARTRIM - B/6
ARP000650;CALGEN - B/30
ARP002004;KETESSE - BOITE /20 AMPOULES
ARP003317;SOLUMEDROL - BOITE / 1 FLACON DE POUDRE + 1 FLACON + SOLVANT
ARP001451;FELDENE - B/15
ARP002484;NEO-MEDROL - FL/25 ml
ARP000437;AmlOR - B/30
ARP000528;BETIMOL - FLACON /5 ml
ARP001071;DEBRIDAT - BOITE /25 AMPOULES DE 5 ml
ARP003837;VIBRA - BOITE / 8
ARP002206;LYRICA - B/84
ARP003663;TRIAM-DENK - BOITE / 10
ARP000999;CROSCAL - FL/200 ml
ARP002860;PHARMALGAN - FLACON / 500 ml
ARP000252;ANTARENE CODEINE - B/10
ARP003347;SPIRONOLACTONE ALTIZIDE ARROW - B/30
ARP001253;DUPHASTON - BOITE / 20
ARP003846;VILDAGLIPTINE - B/28
ARP002094;LETROZOLE ACCESS - B/30
ARP002138;LIPANTHYL - B/30
ARP003795;VALSARTAN ACCESS - BOITE / 28
ARP002392;MONOPROST - B/30 RECIPIENTS UNIDOSES
ARP003995;ZITHROMAX - B/3
ARP002206;LYRICA - BOITE / 56
ARP003835;VIAGRA - BOITE / 4
ARP002338;METRONIDAZOLE CREAT - BOITE/100
ARP000479;BACTRIM - BOITE /20
ARP002850;PERISPASM - BOITE/10
ARP000208;AMOXICILLINE SANDOZ - BOITE / 100
ARP001297;EFFERALGAN - BOITE/8
ARP002226;MADECASSOL - TUBE / 10 G
ARP002226;MADECASSOL - BOITE / 25
ARP002261;MEBO - TUBE / 15 G
ARP003913;XALACOM - FLACON / 2,5 ml
ARP001988;JUVAMINE VITAMINE C - BOITE / 15
ARP001071;DEBRIDAT - BOITE/30
ARP003482;TAHOR - BOITE/28
ARP001024;CYTOTEC - BOITE / 60
ARP003317;SOLUMEDROL - BOITE / 1 FLACON
ARP002057;LAMIVUDINE / ZIDOVUDINE / NEVIRAPINE MACLEODS - BOITE / 60
ARP001144;DICLO-DENK RETARD - BOITE / 10
ARP000343;ASPRO - BOITE / 20
ARP000944;COMBANTRIN - BOITE/6
ARP001302;EFFEXOR LP - BOITE/30
ARP002497;NETAZOX DT - BOITE/6
ARP000043;ACUILIX - BOITE / 28
ARP002271;MEDROL - BOITE / 20
ARP001160;DIFLUCAN - BOITE / 4
ARP002494;NETAZOX - FLACON/30 ml
ARP002358;MICROVAL - BOITE / 84
ARP000896;CO-AVAZIR - FLACON/10 ml
ARP000385;AVAZIR - FLACON/10 ml
ARP000091;ALDACTONE - BOITE / 20
ARP002901;PIROXICAM PFIZER - BOITE/15
ARP000091;ALDACTONE - BOITE/20
ARP000931;COLLU-HEXTRIL - FLACON / 100 ml
ARP000944;COMBANTRIN - FLACON/15 ml
ARP000090;ALDACTAZINE - BOITE / 20
ARP003866;VITAGEN AMPOUL - BOITE / 5
ARP001645;GENACID - FLACON / 200 ml
ARP003537;TENOFOVIR MACLEODS - BOITE / 30
ARP002530;NEZONE - FLACON / 120 DOSES
ARP003072;RAPIVAST - BOITE / 30
ARP002942;PRAZOL - BOITE / 28
ARP001577;FORTALINE PLUS - BOITE / 20
ARP001511;FLOMIST - FLACON / 100 DOSES
ARP001459;FENTANYL SANDOZ - BOITE / 5
ARP003663;TRIAM-DENK - BOITE / 1
ARP003143;RINIALER - FLACON / 120 ml
ARP003446;SYNERGON - BOITE / 3 AMPOULES / 1 ml
ARP001553;FLUOMIZIN - BOITE / 6
ARP000619;BUDENASE AQ - FLACON / 120 DOSES
ARP002914;PNEUMOXOL - FLACON / 100 ml
ARP000414;AZIX - BOITE / 3
ARP003690;TROFOCARD MAX - BOITE/12
ARP002366;MINIDRIL - BOITE/21
ARP003170;ROSUMAC - BOITE / 30
ARP000738;CELEBREX - BOITE / 20
ARP001778;HALIBUT - TUBE / 50 G
ARP002929;PONSTYL FORT - BOITE / 20
ARP003482;TAHOR - BOITE / 28
ARP000906;CO-VALSARTAN WIN - BOITE/28
ARP002500;NEUCIPRO - FLACON/30 ml
ARP001582;FOSFOMYCINE URGO - BOITE / 1
ARP001386;ESTA - BOITE/14
ARP003672;TRICOZ LP - BOITE/60
ARP002636;OFLOX - BOITE / 10
ARP003040;RABEMAC - BOITE/ 14
ARP003949;ZAMOX - BOITE / 12
ARP001840;HYDROCORT - TUBE/20 G
ARP000994;CROISCARD - BOITE/15
ARP000316;ARTESUN - BOITE / 1 FLACON
ARP000094;ALEPSAL - BOITE/30
ARP002085;LAZINE - BOITE/30
ARP003738;ULZOCER - BOITE / 1 FLACON
ARP003671;TRICOZ - BOITE/60
ARP003851;VINORELBINE SANDOZ - BOITE/1 FLACON
ARP001741;GUAFLEX - FLACON/120 ml
ARP000480;BACTRIM FORTE CP - BOITE / 10
ARP000748;CERANID - BOITE / 5 AMPOULES
ARP001899;INEXIUM - BOITE/10
ARP000611;BRU - BOITE / 10
ARP002530;NEZONE - FLACON / 60 DOSES
ARP003938;XYLONAL ADULTE - FLACON/10 ml
ARP003959;ZECLAR - FLACON/100ml
ARP003788;VALMAC H - BOITE/30
ARP003535;TENOFOVIR HETERO - BOITE/30
ARP000589;BONCARE PLUS - BOITE/30
ARP001584;FOSTIMONKIT - BOITE / 1 FLACON
ARP002727;OXYTROY - BOITE/ 3 AMPOULES
ARP001398;EUPHON - FLACON / 300 ml
ARP001378;ESMERON - BOITE / 10 FLACONS / 5 ml
ARP003139;RINASAN ADULTE - FLACON / 10 ml
ARP002960;PRINCI-B FORT - BOITE / 30
ARP002315;METFORMINE DENK - BOITE / 30
ARP001056;DAFRAZOL - BOITE / 14
ARP000723;CEFPODOXIME SANDOZ - FLACON / 100 ml
ARP003207;SALBUTAMOL NOVARTIS ACCESS - FLACON / 200 DOSES
ARP001142;DICLO-DENK - BOITE / 20
ARP000116;ALLERGIFLASH - BOITE / 10 RECIPIENTS UNIDOSES / 0,3 ml
ARP003337;SPASMOCALM - BOITE /20
ARP001349;EPIRUBICINE SANDOZ - BOITE / 1 FLACON
ARP001548;FLUIMUCIL - FLACON / 100 ml
ARP003676;TRIFLUCAN - BOITE / 60
ARP001566;FOLICIL - BOITE/20
ARP003794;VALSAR-DENK - BOITE / 28
ARP000993;CROISARD-E - FLACON / 150 ml
ARP000433;AmlODIPINE PFIZER - BOITE / 20
ARP001963;JANUMET - BOITE / 56
ARP003137;RINACARE SERUM PHYSIOLOGIQUE - BOITE / 20 RECIPIENTS UNIDOSES / 5 ml
ARP001291;EFAVIRENZ MACLEODS - BOITE / 30
ARP001531;FLUCONA-DENK - BOITE / 1
ARP000610;BROXOL - FLACON / 100 ml
ARP003245;SEKROL - FLACON/ 150 ml
ARP004015;ZYLORIC - BOITE / 28
ARP001380;ESOMEP - BOITE / 14
ARP002633;OFLOMAC - BOITE / 1 FLACON DE 100 ml
ARP001642;GEMCITABINE SANDOZ - FLACON / 100 ml
ARP000433;AmlODIPINE PFIZER - BOITE / 90
ARP002133;LINCOCINE - BOITE / 1 AMPOULE / 2 ml
ARP000047;ADEPAL - BOITE / 3X21
ARP000611;BRU - BOITE/15
ARP000738;CELEBREX - BOITE / 10
ARP002968;PROCTOLOG - TUBE / 20 G
ARP002853;PERUBORE - BOITE/15 GELULES POUR INHALATION
ARP000339;ASPIRINE CARDIO - BOITE/30
ARP001109;DESYREL - FLACON/ 200 ml
ARP001476;FERROSTRANE - FLACON / 125 ml
ARP002478;NECAXIME - BOITE / 1 FLACON
ARP000094;ALEPSAL - BOITE / 30
ARP002159;LOMAC - BOITE/14
ARP000264;APAZIDE SUSP - FLACON 100 ml
ARP003675;TRIFEN - BOITE / 20
ARP002456;NADICLOX - TUBE / 15 G
ARP002942;PRAZOL - BOITE / 14
ARP000550;BILOR - BOITE/10
ARP003620;TOBRADEX - FLACON / 5 ml
ARP002945;PREAPTAMIL - POT / 400 G
ARP002725;OXYPEN - BOITE / 1 FLACON
ARP002473;NAXY - BOITE / 10
ARP002144;LITACOLD - BOITE / 20 POCHETTES DE 4
ARP001807;HEPTAMINOL RENAUDIN - BOITE / 100
ARP001235;DRAGEES VEGETALES - BOITE / 40
ARP001016;CYANOCOBALAMINE VItB12 RENAUDIN - BOITE / 10
ARP000631;BUTYLSCOPOLAMINE RENAUDIN - BOITE / 100
