Nom du Medicament,Numero AMM,Date Début,Prix Public,DCI,dosage,Conditionnement,Forme Galénique,Laboratoire,Voie d’administration,classe thérapeutique,RCP,Notice,Image
BETACLOX,9085,22/04/2020,2787,AMOXICILLINE / CLOXACILLINE,250 mg / 250 mg,BOITE/12,GELULLE,AJANTA PHARMA LIMITED,ORALE,Antibiotique,RCP,Notice,Image
NASO GH,9076,22/04/2020,1097,CHLORHYDRATE DE XYLOMETAZOLINE,10 mg,FLACON/10 ml,SPRAY NASAL,GENERiC HEALTH CARE PVT. LTD,NASALE,DECONGESTIONANT NASAL,RCP,Notice,Image
MIFLASONE,8241 BIS,8/5/2019,12179,DIPROPIONATE DE BECLOMETASONE,400 µg,B/1,INHALATEUR À POUDRE SÉCHE,NOVARTIS PHARMA,INHALEE,ANTIASTHMATIQUE,RCP,Notice,Image
PRILIGY,8338 BIS,8/5/2019,37184,DAPOXETINE,30 mg,B/6,COMPRIMÉ PELLICULÉ,MENARINI,ORALE,TRAITEMENT DES TROUBLES ERECTILES,RCP,Notice,Image
TRIVERAM,8383 BIS,8/5/2019,14142,AMLODIPINE BESILATE / ATORVASTATINE / PERINDOPRIL ARGININE,20 mg / 5 mg,BOITE/30,COMPRIMÉ,SERVIER,ORALE,ANTIHYPERTENSEUR,RCP,Notice,Image
TELI H,8309,7/5/2019,9753,HYDROCHLOROTHIAZIDE / TELMISARTAN,12.5 mg / 40 mg,B/30,COMPRIMÉ,CADILA PHARMACEUTICAL LMD,ORALE,ANTIHYPERTENSEUR,RCP,Notice,Image
,8369 BIS,7/5/2019,6095,METFORMINE HYDROCHLORIDE / SITAGLIPTINE,1000 mg / 50 mg,,COMPRIMÉ,GETZ PHARMA PRIVATE LIMITED,ORALE,Antidiabetique,RCP,Notice,Image
LAMOTRIGINE ARROW LAB,8366,7/5/2019,9753,LAMOTRIGINE,100 mg,BOITE/30,COMPRIMÉ DISPERSIBLE,ARROW LAB,ORALE,ANTIEPILEPTIQUE,RCP,Notice,Image
NALGESIC,8393,7/5/2029,1962,FENOPROFENE,300 mg,BOITE/12,COMPRIMÉ,WEST AFRIC PHARMA,ORALE,ANTINFLAMMATOIRE NON STEROÏDIEN,RCP,Notice,Image
MOBITIL,8304,8/5/2019,3377,MELOXICAM,15 mg,BOITE/10,COMPRIMÉ,MEDICAL UNION PHARMACEUTICALS (MUP),ORALE,ANTIINFLAMMATOIRE NON STEROÏDIEN,RCP,Notice,Image
CO-TAREG,8306,7/5/2019,25955,HYDROCHLOROTHIAZIDE / VALSARTAN,160 mg / 25 mg,B/28,COMPRIMÉ,NOVARTIS PHARMA,ORALE,ANTIHYPERTENSEUR,RCP,Notice,Image
ESCITALOPRAM ARROW LAB,,2/3/2022,4267,ESCITALOPRAM,10 mg,B/28,COMPRIMÉ PELLICULÉ,ARROW GENERIQUES,ORALE,AINHIBITEURS SELECTIFS DE LA RECAPTURE DE LA SEROTONINE / ANTIDEPRESSEUR,RCP,Notice,Image
DUTASTERIDE/TAMSULOSINE ARROW,,2/3/2022,8534,DUTASTERIDE / TAMSULODINE,"0,4 mg / 0,5 mg",B/30,GELULLE,ARROW GENERIQUES,ORALE,ANTAGONISTES DES RECEPTEURS ANDRENERGIQUES ALPHA,RCP,Notice,Image
AUROMOX DUO,9999 BIS,8/4/2022,4023,ACIDE CLAVULANIQUE / AMOXICILLINE,"250 mg / 31,25 mg",FL/60 ml,SIROP,AUROCHEM,ORALE,ASSOCIATION DE PENICILLINE / INHIBITEUR DE LA BETALACTAMASE,RCP,Notice,Image
VITAPRED,9990 BIS,28/03/2022,2560,PREDNISOLONE,5 mg,B/20,COMPRIMÉ ORODISPERSIBLE,CADILA PHARMACEUTICAL LMD,ORALE,GLUCOCORTICOIDE,RCP,Notice,Image
VIRDAC,9989 BIS,28/03/2022,463281,DACLATASVIR,60 mg,B/28,COMPRIMÉ,HETERO LABS LIMITED (UNIT-VI) TSIIC FORMULATION SEZ,ORALE,ANTIVIRAL A ACTION DIRECTE,RCP,Notice,Image
TELMILO,9988 TER,28/03/2022,6703,TELMISARTAN,80 mg,B/30,COMPRIMÉ,HETERO LABS LIMITED (UNIT-VI) TSIIC FORMULATION SEZ,ORALE,INHIBITEURS DE LA PROTEASE,RCP,Notice,Image
LEVOMEP GH,9835,23/02/2022,2438,LEVOMEPROMAZINE,25 mg,B/20,COMPRIMÉ,GENERiC HEALTH CARE PVT. LTD,ORALE,ANTIPSYCHOTIQUES NEUROLEPTIQUES,RCP,Notice,Image
RACIPER,7463,22/04/2020,10594,ESOMEPRAZOLE,20 mg,BOITE/14,COMPRIMÉ GASTRO-RÉSISTANT,SUN PHARMACEUTICAL INDUSTRIES LIMITED,ORALE,ANTIULCEREUX,RCP,Notice,Image
TELMILO,9988 BIS,28/03/2022,6703,TELMISARTAN,40 mg,B/30,COMPRIMÉ,HETERO LABS LIMITED (UNIT-VI) TSIIC FORMULATION SEZ,ORALE,ANTIVIRAL A USAGE SYSTEMIQUE,RCP,Notice,Image
LEUTRIEN,9247,23/06/2020,4876,MONTELUKAST SODIUM,4 mg,BOITE/30,COMPRIMÉ À CROQUER,MSN,ORALE,ANTIASTHMATIQUE,RCP,Notice,Image
INDOMET GH,9834,23/02/2022,2804,INDOMETACINE,0.10%,FL/5 ml,COLLYRE,GENERiC HEALTH CARE PVT. LTD,OPHTALMIQUE,ANTALGIQUE / ANTIINFLAMMATOIRE NON STEROÏDIEN,RCP,Notice,Image
METRONIDAZOLE UBI,9270,23/06/2020,14629,METRONIDAZOLE,250 mg,BOITE/1000,COMPRIMÉ,UBITHERA PHARMA PVT LTD,ORALE,ANTIPARASITAIRE,RCP,Notice,Image
SUCCINATE SODIQUE D’HYDROCORTISONE,9833,2/3/2022,1219,SUCCINATE SODIQUE D’HYDROCORTISONE,100 mg/ml,"FL/7,5 ml",SOLUTION INJECTABLE,KILITCH DRUG LTD,INJECTABLE,Antibiotique,RCP,Notice,Image
EVITOP,9376 BIS,24/07/2020,6159,DAPOXETINE,60 mg,BOITE/3,COMPRIMÉ PELLICULÉ,WEST AFRIC PHARMA,ORALE,AINHIBITEURS SELECTIFS DE LA RECAPTURE DE LA SEROTONINE,RCP,Notice,Image
HYDROCHLOROTHIAZIDE ARROW,9832,2/3/2022,9753,HYDROCHLOROTHIAZIDE,25 mg,B/90,COMPRIMÉ SÉCABLE,ARROW GENERIQUES,ORALE,ANTIHYPERTENSEUR,RCP,Notice,Image
HALOPERIDONE GH,9830,23/02/2022,1523,HALOPERIDOL,2 mg/ml,FL/30 ml,SOLUTION BUVABLE,GENERiC HEALTH CARE PVT. LTD,ORALE,Antipsychotique / PSYCHOLEPTIQUES,RCP,Notice,Image
CLARISCAN,9409 BIS,8/9/2020,36270,ACIDE GADOTERIQUE,0.5 MMOL/ml,FLACON/15 ml,SOLUTION INJECTABLE,GE HEALTH CARE,INJECTABLE,PRODUIT DE CONTRASTE POUR IMAGERIE PAR RESONANCE,RCP,Notice,Image
ENEBRA,9971 BIS,28/03/2022,183922,ENTECAVIR,1 mg,B/30,COMPRIMÉ PELLICULÉ,TAHA PHARMA,ORALE,ANTIVIRAUX,RCP,Notice,Image
GYNO OKTARIN,9829,2/3/2022,2779,NITRATE DE MICONAZOLE,20 mg,T/20 G,CREME,ASPIN PHARMA (PVT.) LTD.,CUTANEE,ANTIINFECTIEUX / ANTISEPTIQUE,RCP,Notice,Image
GLIZAR MR,9828,2/3/2022,7314,GLICLAZIDE,60 mg,B/30,COMPRIMÉ,CROIENT PHARMA PVT. LTD.,ORALE,HYPOGLYCEMIANT,RCP,Notice,Image
ROIPAR PLUS,8352 BIS,8/9/2020,1462,CAFEINE / PARACETAMOL,30 mg / 500 mg,BOITE/16,COMPRIMÉ,KILITCH DRUG LTD,ORALE,ANALGESIQUE / ANTIPYRETIQUE,RCP,Notice,Image
DESCOVY,9968 BIS,28/03/2022,29259,EMTRICITABINE / TENOFOVIR ALAFENAMIDE,200 mg / 25 mg,B/30,COMPRIMÉ PELLICULÉ,GILEAD SCIENCES,ORALE,ANTIVIRAL A USAGE SYSTEMIQUE,RCP,Notice,Image
FEROXYDE B9,9826,8/3/2022,3169,FER,125 mg,FL/150 ml,SIROP,CROIENT PHARMA PVT. LTD.,ORALE,ANTIANEMIQUE,RCP,Notice,Image
NATECAL,9353 BIS,8/9/2020,4876,CARBONATE DE CALCIUM / CHOLECALCIFEROL,1500 mg / 400 UI,BOITE/60,COMPRIMÉ À CROQUER,ITALFARMACO,ORALE,CALCIUM / VITAMINES,RCP,Notice,Image
ESCITALOPRAM ARROW LAB,9825,2/3/2022,3047,ESCITALOPRAM,5 mg,B/28,COMPRIMÉ PELLICULÉ,ARROW GENERIQUES,ORALE,AINHIBITEURS SELECTIFS DE LA RECAPTURE DE LA SEROTONINE / ANTIDEPRESSEUR,RCP,Notice,Image
ALGIBREX,9958 BIS,9/3/2022,7314,CELECOXIB,200 mg,B/20,GELULLE,TAHA PHARMA,ORALE,Antirhumatismal / COXIBS,RCP,Notice,Image
DOMPA-V,9823,2/3/2022,2633,DOMPERIDONE,10 mg,B/50,COMPRIMÉ PELLICULÉ,ASPIN PHARMA (PVT.) LTD.,ORALE,PROPULSEURS,RCP,Notice,Image
DESARROL,9822,0000-00-00,4510,ASPARTATE D’ARGININE / CARNITINE CHLORHYDRATE / CYPROHEPTADINE,1 mg / 125 mg / 250 mg,FL/200 ml,SOLUTION BUVABLE,FAES PHARMA,ORALE,STIMULANT DE L’APPETIT,RCP,Notice,Image
PIPRAM FORT,9286,23/06/2020,4206,ACIDE PYRUVIQUE,400 mg,BOITE/10,COMPRIMÉ ENROBÉ,FRiLAB SA,ORALE,Antibiotique,RCP,Notice,Image
DAKORIN,9821,2/3/2022,2328,HYDROCORTISONE / NITRATE DE MICONAZOLE,,2%,CREME,ASPIN PHARMA (PVT.) LTD.,CUTANEE,ANTIINFECTIEUX / ANTISEPTIQUE,RCP,Notice,Image
CAVIRA,9820,2/3/2022,21944,ENTECAVIR,0.5 mg,B/30,COMPRIMÉ,BROOKES PHARMA,ORALE,ANTIRETROVIRAL,RCP,Notice,Image
STERIMAR,9399,20/07/2020,3901,EAU DE MER HYPERTONIQUE,19 G,FLACON/50 ml,SPRAY NASAL,SOFIBEL LABORATOIRE FUMOUZE,NASALE,DECONGESTIONNANT NASAL,RCP,Notice,Image
BEKRACINE,9817,2/3/2022,5486,CEFIXIME,100 mg/5 ml,FL/60 ml,SUSPENSION BUVABLE,BEKRA PHARMA UK LTD,ORALE,Antibiotique,RCP,Notice,Image
ARIPIPRAZOLE,9816,2/3/2022,1340,ARIPIPRAZOLE,1 mg/ml,FL/150 ml,SOLUTION INJECTABLE,ARROW GENERIQUES,INJECTABLE,PSYCHOLEPTIQUES,RCP,Notice,Image
GVIA,9954 BIS,28/03/2022,13008,SITAGLIPTINE,,B/28,COMPRIMÉ,GENIX PHARMA (PVT) LTD,ORALE,ANTIDIABETIQUE,RCP,Notice,Image
CEFIXIRAP,9949 BIS,0000-00-00,4876,CEFIXIME ANHYDRE,100 mg/5 ml,FL/40ml,SUSPENSION BUVABLE,GARAP PHARMA,ORALE,ANTIBIOTIQUE,RCP,Notice,Image
PARAMAX,9983,15/03/2022,1219,ACECLOFENAC / PARACETAMOL,100 mg / 500 mg,B/10,COMPRIMÉ SÉCABLE,DPA LES BERGES DU LAC,ORALE,ANALGESIQUE / ANTIINFLAMMATOIRE NON STEROÏDIEN / ANTIPYRETIQUE,RCP,Notice,Image
AMOXICILLINE ARROW LAB,9815,2/3/2022,3779,AMOXICILLINE,1000 mg,B/30,COMPRIMÉ DISPERSIBLE,ARROW GENERIQUES,ORALE,PENICILLINES A LARGE SPECTRE,RCP,Notice,Image
ALGINATE DE SODIUM/BICARBONATE DE SODIUM ARROW,9813,2/3/2022,2320,ALGINATE DE SODIUM / BICARBONATE DE SODIUM,267 mg / 500 mg,B/24 SACHETS,SUSPENSION BUVABLE,ARROW GENERIQUES,ORALE,REFLUX GASTRO-OESOPHAGIEN / ULCERE PEPTIQUE,RCP,Notice,Image
OXYNORM,9982,28/03/2022,36574,CHLORHYDRATE D OXYCODONE,10 mg,B/56,GÉLULE,NAPP PHARMACEUTICALS PARK,ORALE,ANALGESIQUE NARCOTIQUE,RCP,Notice,Image
ZEPOTIL,9948 TER,28/03/2022,4876,CEFPODOXIME,200 mg,B/10,COMPRIMÉ PELLICULÉ,ZRENIE HEALTHCARE,ORALE,CEPHALOSPORINE DE TROISIEME GENERATION,RCP,Notice,Image
O’MAX ZINC,9981,28/03/2022,1840,CHLORURE DE POTASSIUM / CHLORURE DE SODIUM / CITRATE DE SODIUM / GLUCOSE ANHYDRE / SULFATE DE ZINC,"1,5 g / 13,5 g / 2 g / 2,9 g / 20 mg",B/2 SACHETS ET 10 COMPRIMES,SACHETS ET COMPRIMES,DPA LES BERGES DU LAC,ORALE,ANTIDIARRHEIQUE,RCP,Notice,Image
OFLOMAX,9980,9/3/2022,3060,CIPROFLOXACINE,200 mg,B/10,COMPRIMÉ,DPA LES BERGES DU LAC,ORALE,ANTIBACTERIEN A LA QUINOLONE / FLUOROQUINOLONES,RCP,Notice,Image
ZEPOTIL,9948 TER,28/03/2022,4876,CEFPODOXIME,200 mg,B/10,COMPRIMÉ PELLICULÉ,ZRENIE HEALTHCARE,ORALE,CEPHALOSPORINE DE TROISIEME GENERATION,RCP,Notice,Image
GENES VIT JUNIOR,9093,12/3/2020,2074,MULTIVITAMINES,,BOITE/10,COMPRIMÉ EFFERVESCENT,ROMA PHARM INTERNATIONAL,ORALE,MULTIVITAMINES,RCP,Notice,Image
9948 BIS,9948 BIS,28/03/2022,4267,CEFPODOXIME,100 mg mg,B/10,COMPRIMÉ DISPERSIBLE,ZRENIE HEALTHCARE,ORALE,CEPHALOSPORINE DE TROISIEME GENERATION,RCP,Notice,Image
HYTACAND,9094,22/04/2020,14459,CANDESARTAN CILEXETIL / HYDROCHLOROTHIAZIDE,12 mg / 8 mg,,COMPRIMÉ,ASTRA ZENECA,ORALE,ANTIHYPERTENSEUR,RCP,Notice,Image
ALERBIX,9810,2/3/2022,4108,BILASTINE,10 mg,B/20,COMPRIMÉ ORODISPERSIBLE,VICTORIA SA GROUPE FAES,ORALE,ANTIHISTAMINIQUE,RCP,Notice,Image
ALERBIX,9812,9/3/2022,5888,BILASTINE,"2,5 mg/ml",FL/120 ml,SIROP,VICTORIA SA GROUPE FAES,ORALE,ANTIHISTAMINIQUE,RCP,Notice,Image
SOLEXIM,9941 TER,9/3/2022,3925,CEFIXIME,200 mg,B/10,COMPRIMÉ PELLICULÉ,ZRENIE HEALTHCARE,ORALE,CEPHALOSPORINE DE TROISIEME GENERATION,RCP,Notice,Image
MAGNESIUM TRISILICATE,9979,9/3/2022,0,HYDROXYDE D’ALUMINIUM / HYDROXYDE DE MAGNESIUM,400 mg,B/100,COMPRIMÉ,WEST AFRIC PHARMA,ORALE,ANTI ACIDE,RCP,Notice,Image
LOSARMAX,9978,28/03/2022,5486,HYDROCHLOROTHIAZIDE / LOSARTAN,"12,5 mg / 50 mg",B/30,COMPRIMÉ,DPA LES BERGES DU LAC,ORALE,ANTAGONISTES / DIURETIQUE DE L’ANGIOTENSINE II,RCP,Notice,Image
SOLEXIM,994 BIS,8/3/2022,4876,CEFIXIME,100 mg/5 ml,FL/60 ml,SUSPENSION BUVABLE,ZRENIE HEALTHCARE,ORALE,ANTIBIOTIQUE,RCP,Notice,Image
IPPROTON,9977,28/03/2022,5564,OMEPRAZOLE,20 mg,B/28,GÉLULE,MEDIS-S.A,ORALE,INHIBITEUR DE LA POMPE A PROTON,RCP,Notice,Image
IBUPROFENE,9976,8/3/2022,0,IBUPROFENE,400 mg,B/100,COMPRIMÉ,WEST AFRIC PHARMA,ORALE,ANTIPYRETIQUE / AUTRE ANALGESIQUE,RCP,Notice,Image
ACTEMRA,9934 TER,28/03/2022,962613,TOCILIZUMAB,400 mg/20 ml,B/1,SOLUTION POUR PERFUSION,CADILA PHARMACEUTICAL LMD,PARENTARALE,POLYARTHRITE RHUMATOIDE,RCP,Notice,Image
ALERBIX,9811,2/3/2022,4084,BILASTINE,20 mg,B/20,COMPRIMÉ,VICTORIA SA GROUPE FAES,ORALE,ANTIHISTAMINIQUE,RCP,Notice,Image
GUAMEN,9975,28/03/2022,2925,AMBROXOL HYDROCHLORIDE / GUAIFENESINE / MENTHOL / SULFATE DE TERBUTALINE,"1,25 mg / 15 mg / 2,5 mg / 50 mg",FL/200 ml,SIROP,CROIENT PHARMA PVT. LTD.,ORALE,EXPECTORANT,RCP,Notice,Image
ALOXIA,9378 BIS,15/07/2020,2682,MELOXICAM,15 mg,BOITE/10,COMPRIMÉ,WEST AFRIC PHARMA,ORALE,ANTIINFLAMMATOIRE NON STEROÏDIEN,RCP,Notice,Image
ACTEMRA,9934 BIS,8/3/2022,481251,TOCILIZUMAB,200 mg/20 ml ml,B/1,SOLUTION POUR PERFUSION,ROCHE PHARMA SA,PARENTARALE,POLYARTHRITE RHUMATOIDE,RCP,Notice,Image
ADNA MENTHE,9809,23/02/2022,1523,BASE AQUEUSE / CHLORURE DE ZINC / FLUORURE DE SODIUM / GLUCONATE DE CHLORHEXIDINE,/ 0.05%p/v / 0.09%p/v / 0.20%p/v,FL/250 ml,BAIN DE BOUCHE,GENERiC HEALTH CARE PVT. LTD,BUCCALE,ANTIINFECTIEUX / ANTISEPTIQUE,RCP,Notice,Image
ALOXIA,9378,15/07/2020,1767,MELOXICAM,7.5 mg,BOITE/10,COMPRIMÉ,WEST AFRIC PHARMA,ORALE,ANTIINFLAMMATOIRE NON STEROÏDIEN,RCP,Notice,Image
ADNA ORANGE MENTHE,9808,23/02/2022,1523,BASE AQUEUSE / CHLORURE DE ZINC / FLUORURE DE SODIUM / GLUCONATE DE CHLORHEXIDINE,/ 0.05%p/v / 0.09%p/v / 0.20%p/v,FL/250 ml,BAIN DE BOUCHE,GENERiC HEALTH CARE PVT. LTD,BUCCALE,ANTIINFECTIEUX / ANTISEPTIQUE,RCP,Notice,Image
HEMAFER,9363,24/07/2020,5486,FER,100 mg,BOITE/30,COMPRIMÉ À CROQUER,UNI PHARMA,ORALE,ANTIANEMIQUE,RCP,Notice,Image
HALOPARA,9933 BIS,8/4/2022,975,PARACETAMOL,1000 mg,B/8,COMPRIMÉ EFFERVESCENT,HALEWOOD LABORATORIES PVT. LTD. 319,ORALE,ANTALGIQUE / ANTIPYRETIQUE,RCP,Notice,Image
KINAFON,9096,12/3/2020,1767,PHLOROGLUCINOL,62.25 mg,BOITE/30,COMPRIMÉ,PHARMA PRODUCT MANUFACTURING (PPM),ORALE,ANTISPASMODIQUE,RCP,Notice,Image
KINAL CODEINE,9097,12/3/2020,1645,CAFEINE ANHYDRE / PARACETAMOL / PHOSPHATE DE CODEINE HEMIHYDRATE,20 mg / 400 mg / 50 mg,BOITE/3 BLISTER DE 6,GELULLE,PHARMA PRODUCT MANUFACTURING (PPM),ORALE,ANTALGIQUE,RCP,Notice,Image
MOGININ,9919 BIS,0000-00-00,4876,SILDENAFIL,100 mg,B/4,COMPRIMÉ,KUSUM HEALTHCARE PVT. LTD.,ORALE,MEDICAMENTS UTILISES DANS LA DYSFONCTION ERECTILE,RCP,Notice,Image
ACIDE ALENDRONIQUE ARROW LAB,9807,8/3/2022,6095,ACIDE ALENDRONIQUE,70 mg,B/4,COMPRIMÉ,ARROW GENERIQUES,ORALE,Bisphosphonates,RCP,Notice,Image
SOMAZINA,9102,12/3/2020,16714,CITICOLINE,500 mg,FLACON/4 ml,AMPOULE INJECTABLE,FERRER INTERNATIONAL S.A.,INJECTABLE,PSYCHOSTIMULANT,RCP,Notice,Image
XICLAV,9905 BIS,0000-00-00,7010,ACIDE CLAVULANIQUE / CEFPODOXINE,125 mg / 200 mg,B/10,COMPRIMÉ,EXPHA LTD,ORALE,ANTIBIOTIQUE,RCP,Notice,Image
FUROSEMIDE,9974,8/3/2022,0,FUROSEMIDE,40 mg,B/100,COMPRIMÉ,WEST AFRIC PHARMA,ORALE,DIURETIQUE DE LANSE,RCP,Notice,Image
FEBRIMAX,9973,28/03/2022,1036,CAFEINE / CHLORPHENIRAMINE / MAGNESIUM / PARACETAMOL,100 mg / 4 mg / 50 mg / 500 mg,B/10,COMPRIMÉ SÉCABLE,DPA LES BERGES DU LAC,ORALE,ANALGESIQUE / ANTIHISTAMINIQUE / ANTIPYRETIQUE,RCP,Notice,Image
PENTASA,9185,11/3/2020,47547,MESALAZINE,1 G,BOITE/60,COMPRIME à LIBERATION CONTROLEE,FERRING S.A.S,ORALE,ANTIINFLAMMATOIRE INTESTINAL,RCP,Notice,Image
VINCCMET,9903 BIS,0000-00-00,3345,CHLORHYDRATE DE METFORMINE,1000 mg,B/30,COMPRIMÉ,VINCCENT BIOTECH PVT.LTD,ORALE,ANTIDIABETIQUES ORAUX,RCP,Notice,Image
SRO ZINC KIT,9806,26/01/2022,426,IONS SODIUM POTASSIUM CHLORUE ET ZING,,,INCONNUE,INCONNUE,INCONNUE,,RCP,Notice,Image
EPCLUSA,9972,8/3/2022,310520,SOFOSBUVIR / VELPATASVIR,100 mg / 400 mg,B/28,COMPRIMÉ,GILEAD SCIENCES,ORALE,ANTI HEPATITE C,RCP,Notice,Image
ENEBRA,9971,28/03/2022,183922,ENTECAVIR,,B/30,COMPRIMÉ PELLICULÉ,TAHA PHARMA,ORALE,ANTIVIRAUX,RCP,Notice,Image
DESLOR,9969,9/3/2022,4996,DESLORATADINE,5 mg,B/30,COMPRIMÉ PELLICULÉ,MEDIS-S.A,ORALE,ANTIHISTAMINIQUES ANTI H1,RCP,Notice,Image
KLAVMOX,9805,26/01/2022,2974,AMOXICIILLINE / CLAVULANATE DE POTASSIUM,500 mg / 62.5 mg,B/12,SACHET,KILITCH DRUG LTD,ORALE,Antibiotique,RCP,Notice,Image
CETAZONE,9086,12/3/2020,1462,CEFTRIAXONE,250 mg/5 ml,BOITE/1,POUDRE ET SOLVANT POUR SOLUTION INJECTABLE,AJANTA PHARMA LIMITED,INJECTABLE,Antibiotique,RCP,Notice,Image
ROIPAR VIT C,9804,26/01/2022,1462,ACIDE ASCORBIQUE / MALEATE DE PHENIRAMINE / PARACETAMOL,10 mg / 100 mg / 280 mg,B/8,SACHET,KILITCH DRUG LTD,ORALE,ANTIGRIPPAL / ANTIRHUME,RCP,Notice,Image
DESCOVY,9968,8/3/2022,29259,EMTRICITABINE / TENOFOVIR ALAFENAMIDE,10 mg / 200 mg,B/30,COMPRIMÉ PELLICULÉ,GILEAD SCIENCES,ORALE,ANTIVIRAL A USAGE SYSTEMIQUE,RCP,Notice,Image
KLAVMOX,9804,26/01/2022,3596,AMOXICIILLINE / CLAVULANATE DE POTASSIUM,1000 mg / 125 mg,B/16,SACHET,KILITCH DRUG LTD,ORALE,Antibiotique,RCP,Notice,Image
MEBENDAZOLE,9098 BIS,12/3/2020,792,MEBENDAZOLE,100 mg/5 ml,FLACON/30 ml,POUDRE POUR SUSPENSION BUVABLE,UBITHERA PHARMA PVT LTD,ORALE,ANTIPARASITAIRE,RCP,Notice,Image
CLOTRIMA V6,9967,2/3/2022,1645,CLOTRIMAZOLE,100 mg,B/12,SUPPOSITOIRE,CROIENT PHARMA PVT. LTD.,RECTALE,ANTI-INFECTIFS GYNECOLOGIQUES ET ANTISEPTIQUES DERIVES IMIDAZOLES,RCP,Notice,Image
CIPRONE,9966,9/3/2022,0,CHLORHYDRATE DE CIPROFLOXACINE,500 mg,B/100,COMPRIMÉ,WEST AFRIC PHARMA,ORALE,FLUOROQUINOLONES,RCP,Notice,Image
COMBIMAL,9088,12/3/2020,19506,PYRIMETHAMINE / SULFADOXINE,25 mg / 500 mg,BOITE/50 BLISTER DE 3,COMPRIMÉ,AJANTA PHARMA LIMITED,ORALE,ANTIPALUDIQUE,RCP,Notice,Image
CIPRO,9965,28/03/2022,6359,CIPROFLOXACINE,750 mg,B/16,COMPRIMÉ PELLICULÉ,MEDIS-S.A,ORALE,FLUOROQUINOLONES,RCP,Notice,Image
ROIPAR VIT C,9803,26/01/2022,1584,ACIDE ASCORBIQUE / MALEATE DE PHENIRAMINE / PARACETAMOL,200 mg / 25 mg / 500 mg,B/8,SACHET,KILITCH DRUG LTD,ORALE,ANTIGRIPPAL / ANTIRHUME,RCP,Notice,Image
CIPRO,9964,9/3/2022,3179,CIPROFLOXACINE,500 mg,B/14,COMPRIMÉ PELLICULÉ,MEDIS-S.A,ORALE,FLUOROQUINOLONES,RCP,Notice,Image
CETAFF,9963,9/3/2022,1706,CAFEINE / PARACETAMOL,50 mg / 500 mg,B/30,COMPRIMÉ,CROIENT PHARMA PVT. LTD.,ORALE,ANTALGIQUE,RCP,Notice,Image
ROIPAR GRIPPE,9802,26/01/2022,597,CHLORHYDRATE DE PHENYLEPHRINE / MALEATE DE CHLORPHENIRAMINE / PARACETAMOL,,FL/100 ml,SUSPENSION BUVABLE,KILITCH DRUG LTD,ORALE,ANTIGRIPPAL / ANTIRHUME,RCP,Notice,Image
ARTEVINCC,9875 TER,0000-00-00,2825,,,B/6,COMPRIMÉ,VINCCENT BIOTECH PVT.LTD,ORALE,ANTIPALUDIQUE,RCP,Notice,Image
DISLEP,9090,12/3/2020,5717,LEVOSULPIRIDE,25 mg,BOITE/6,AMPOULE INJECTABLE,FERRER INTERNATIONAL S.A.,INJECTABLE,REGULATEUR DU TRANSIT INTESTINAL,RCP,Notice,Image
ROIPAR GRIPPE,9801,26/01/2022,1828,CAFEINE / CHLORHYDRATE DE PHENYLEPHRINE / MALEATE DE CHLORPHENIRAMINE / PARACETAMOL,10 mg / 2 mg / 30 mg / 500 mg,B/4,COMPRIMÉ,KILITCH DRUG LTD,ORALE,ANTIGRIPPAL / ANTIRHUME,RCP,Notice,Image
CELOFEN,9962,28/03/2022,4876,CELECOXIB,100 mg,B/20,GÉLULE,HETERO LABS LIMITED (UNIT-VI) TSIIC FORMULATION SEZ,ORALE,ANTIINFLAMMATOIRE NON STEROÏDIEN / COXIBS / MEDICAMENTS ANTIRHUMATISMAUX,RCP,Notice,Image
LEVITRA,9252 BIS,23/06/2020,26663,VARDENAFIL,10 mg,BOITE/4,COMPRIMÉ PELLICULÉ,BAYER AG,ORALE,Aphrodisiaque,RCP,Notice,Image
ARTEVINCC,9875 BIS,0000-00-00,3345,ARTHEMETER / LUMEFANTRINE,20 mg / 40 mg,,COMPRIMÉ,VINCCENT BIOTECH PVT.LTD,ORALE,ANTIPALUDIQUE,RCP,Notice,Image
CAPETERO,9961,28/03/2022,146299,CAPECITABINE,150 mg,B/60,COMPRIMÉ,HETERO LABS LIMITED (UNIT-VI) TSIIC FORMULATION SEZ,ORALE,CYTOSTATIQUE,RCP,Notice,Image
CABERLEX,9960,28/03/2022,25834,CABERGOLINE,"0,5 mg",B/8,COMPRIMÉ,TAHA PHARMA,ORALE,INHIBITEUR DE LA PROLACTINE,RCP,Notice,Image
ANDROCUR,9261,23/06/2020,13581,ACETATE DE CYPROTERONE,50 mg,BOITE/20,COMPRIMÉ,BAYER SANTE FAMILIALE,ORALE,ANTIANDROGENES,RCP,Notice,Image
CABERLEX,9960,28/03/2022,10826,CABERGOLINE,"0,5 mg",B/2,COMPRIMÉ,TAHA PHARMA,ORALE,INHIBITEUR DE LA PROLACTINE,RCP,Notice,Image
FINAWOOD,9800,2/3/2022,3901,NIFEDIPINE,10 mg,B/30,COMPRIMÉ,HALEWOOD LABORATORIES PVT. LTD. 319,ORALE,DERIVES DE LA DIHYDROPYRIDINE,RCP,Notice,Image
